dataset,model,strategy,target_feature,repeat,model_total_parameters,model_trainable_parameters,model_non_trainable_parameters,timing_total_training_time_ms,timing_avg_epoch_time_ms,timing_avg_batch_time_ms,timing_inference_time_ms,memory_peak_gpu_memory_mb,memory_avg_gpu_memory_mb,memory_model_memory_mb,memory_peak_cpu_memory_mb,overall_mse,overall_rmse,overall_mae,mse,rmse,mae
elec,micn,CI,OT,1,3160673,3160673,0,110976.75633430481,6924.756243824959,34.209308524926506,11.304746974598277,71.89306640625,71.83894644843207,12.057010650634766,7254.11328125,0.1773211658000946,0.42109519243240356,0.30847442150115967,0.1773211658000946,0.42109519243240356,0.30847442150115967
elec,pyraformer,CD,,1,12343744,12343744,0,515361.35387420654,17117.336281140644,30.140178520362692,18.519890017625762,245.0556640625,244.64020057091346,47.087646484375,23923.53515625,0.15905658900737762,0.3988189995288849,0.26236817240715027,0.2492324411869049,0.49923184514045715,0.37231194972991943
elec,pyraformer,CI,OT,1,2095072,2095072,0,220257.35330581665,20021.56639099121,21.337623552236295,14.964923626039086,61.03662109375,61.03246131310096,7.9920654296875,7237.44921875,0.22310881316661835,0.47234395146369934,0.34626156091690063,0.22310881316661835,0.47234395146369934,0.34626156091690063
elec,rnn,CD,,1,1518518368,1518518368,0,1498992.784500122,135581.78775960748,221.4685747067184,14.523866699963081,23206.66064453125,23203.32127400742,5792.6878662109375,21440.0,0.27324002981185913,0.5227236747741699,0.3847527801990509,0.29951855540275574,0.547282874584198,0.4046441316604614
elec,rnn,CI,OT,1,678432,678432,0,199701.25102996826,7986.410417556763,5.471981171961431,0.45397223495855565,29.65673828125,29.655764108937937,2.5880126953125,6911.28125,0.18295899033546448,0.4277370572090149,0.30859771370887756,0.18295899033546448,0.4277370572090149,0.30859771370887756
elec,scinet,CD,,1,102314712,102314712,0,684145.783662796,22453.692269325256,201.55679395905247,47.16238108548251,1759.1416015625,1754.5495750144676,390.2996520996094,23802.1875,0.1422695815563202,0.3771863877773285,0.2414822280406952,0.16555224359035492,0.4068811237812042,0.29097506403923035
elec,scinet,CI,OT,1,18712,18712,0,707639.9877071381,39307.890203264025,57.83877124041666,6.6509246826171875,19.81103515625,19.810718978016343,0.071380615234375,7106.93359375,0.23087111115455627,0.48049047589302063,0.3504689633846283,0.23087111115455627,0.48049047589302063,0.3504689633846283
elec,segrnn,CD,,1,1672972,1672972,0,1294191.8358802795,43127.83741950989,57.3427281874321,16.749998418296254,68.69384765625,68.15344369172495,6.3818817138671875,23772.7734375,0.1487884223461151,0.3857310116291046,0.2432439923286438,0.1596616506576538,0.3995768427848816,0.28654029965400696
elec,segrnn,CI,OT,1,1591052,1591052,0,59815.74749946594,4598.2252084291895,6.1407323576446275,1.0590553283691406,52.01416015625,51.97468658186432,6.0693817138671875,7094.140625,0.21268366277217865,0.46117639541625977,0.3376862108707428,0.21268366277217865,0.46117639541625977,0.3376862108707428
elec,ssrnn,CD,,1,361568,361568,0,1642987.0114326477,54762.57301171621,152.33288622680521,41.65870387379716,60.32861328125,59.679758522727276,1.3792724609375,23936.87109375,0.1559220850467682,0.39486971497535706,0.24981674551963806,0.1771070659160614,0.42084088921546936,0.3040899932384491
elec,ssrnn,CI,OT,1,115296,115296,0,123768.50247383118,4759.009342927199,5.056809538449997,6.082383069125089,21.75048828125,21.74208473140358,0.4398193359375,7257.6640625,0.2001146376132965,0.4473417401313782,0.32480713725090027,0.2001146376132965,0.4473417401313782,0.32480713725090027
elec,tcn,CD,,1,378845568,378845568,0,250459.05351638794,17218.748756817407,77.0790312554572,6.6957133156912665,5871.06884765625,5867.939520440497,1445.18115234375,21380.55078125,0.268569678068161,0.5182371139526367,0.37996864318847656,0.2982129156589508,0.5460887551307678,0.42107918858528137
elec,tcn,CI,OT,1,1286528,1286528,0,131859.79199409485,9414.860946791512,7.920976106698935,1.2450683407667207,35.98681640625,35.984675541743414,4.90771484375,6873.62890625,0.20402681827545166,0.45169326663017273,0.3275907337665558,0.20402681827545166,0.45169326663017273,0.3275907337665558
elec,tide,CD,,1,4503076,4503076,0,29081950.799942017,969366.6944185892,1567.0321013127173,390.9389187649983,105.75830078125,105.62756672038898,17.177871704101562,23902.59375,0.1965709924697876,0.4433632791042328,0.2710990011692047,0.33677950501441956,0.5803270936012268,0.41480857133865356
elec,tide,CI,OT,1,391561,391561,0,223445.94407081604,7441.023842493693,9.874164280080016,1.3663303561326934,25.40087890625,25.399626732317163,1.4936866760253906,7221.65625,0.30984437465667725,0.5566366910934448,0.40212735533714294,0.30984437465667725,0.5566366910934448,0.40212735533714294
elec,timemixer,CD,,1,737417,737417,0,212719.72155570984,11814.839879671732,63.94296093487445,13.674714348532937,163.22119140625,161.54227739498938,2.8130226135253906,23770.0625,0.32741492986679077,0.5722018480300903,0.42052072286605835,0.39370954036712646,0.6274628043174744,0.49614983797073364
elec,timemixer,CI,OT,1,603553,603553,0,120985.76307296753,8061.675039927165,49.698568714989555,14.595573598688299,29.27587890625,29.260642270688656,2.3023719787597656,7091.9140625,0.186629056930542,0.4320058524608612,0.3197130262851715,0.186629056930542,0.4320058524608612,0.3197130262851715
elec,timesnet,CD,,1,907401824,907401824,0,2171875.5118846893,69437.14146614075,406.9555492112131,94.32243165515717,13939.18798828125,13935.304674638512,3461.4632568359375,23907.1484375,0.2170967310667038,0.4659363925457001,0.31947439908981323,0.37049999833106995,0.6086871027946472,0.4679515063762665
